Name,Organization,Location
Andres Erbsen,(MIT CSAIL),
Jade Philipoom,(MIT CSAIL),
Jason Gross,(MIT CSAIL),
Robert Sloan,(MIT CSAIL),
Adam Chlipala,(MIT CSAIL),
Marcella Hastings,(University of Pennsylvania),
Brett Hemenway,(University of Pennsylvania),
Daniel Noble,(University of Pennsylvania),
Steve Zdancewic,(University of Pennsylvania),
Craig Disselkoen,"(University of California San Diego, Mozilla Research Internship)",
Radha Jagadeesan,(DePaul University),
Alan Jeffrey,(Mozilla Research),
James Riely,(DePaul University),
Jonathan Protzenko,(Microsoft Research),
Benjamin Beurdouche,(Inria),
Denis Merigoux,(Inria),
Karthikeyan Bhargavan,(Inria),
Dokyung Song,"(University of California, Irvine)",
Julian Lettner,"(University of California, Irvine)",
Prabhu Rajasekaran,"(University of California, Irvine)",
Yeoul Na,"(University of California, Irvine)",
Stijn Volckaert,"(University of California, Irvine)",
Per Larsen,"(University of California, Irvine)",
Michael Franz,"(University of California, Irvine)",
Chaoshun Zuo,(The Ohio State University),
Zhiqiang Lin,(The Ohio State University),
Yinqian Zhang,(The Ohio State University),
Matthew Joslin,(University of Texas at Dallas),
Neng Li,(Shanghai Jiao Tong University),
Shuang Hao,(University of Texas at Dallas),
Minhui Xue,(Macquarie University),
Haojin Zhu,(Shanghai Jiao Tong University),
Elissa M. Redmiles,(University of Maryland),
Sean Kross,(University of California San Diego),
Michelle L. Mazurek,(University of Maryland),
Adam Oest,(Arizona State University),
Yeganeh Safaei,(Arizona State University),
Adam Doupé,(Arizona State University),
Gail-Joon Ahn,"(Arizona State University, Samsung Research)",
Brad Wardman,(PayPal),
Kevin Tyers,(PayPal),
Omar Alrawi,(Georgia Institute of Technology),
Chaz Lever,(Georgia Institute of Technology),
Manos Antonakakis,(Georgia Institute of Technology),
Fabian Monrose,(University of North Carolina at Chapel Hill),
Nan Zhang,"(Indiana University, Bloomington)",
Xianghang Mi,"(Indiana University, Bloomington)",
Xuan Feng,"(Indiana University, Bloomington; Beijing Key Laboratory of IOT Information Security Technology, Institute of Information Engineering, CAS, China)",
XiaoFeng Wang,"(Indiana University, Bloomington)",
Yuan Tian,(University of Virginia),
Feng Qian,"(Indiana University, Bloomington)",
Ben Nassi,(Ben-Gurion University of the Negev),
