Name,Organization,Location,Gender,Race
Yuval Yarom,(University of Adelaide and Data61),,male,A
Gleb Naumenko,(University of British Columbia),,male,W_NL
Gregory Maxwell,(Independent),,male,W_NL
Pieter Wuille,(Blockstream),,male,W_NL
Alexandra,(Sasha) Fedorova (University of British Columbia),,,
Ivan Beschastnikh,(University of British Columbia),,male,HL
Ariel Nof,(Bar-Ilan University),,male,HL
Yuval Ishai,(Technion and UCLA),,male,A
Elette Boyle,(IDC Herzliya),,female,W_NL
Niv Gilboa,(BGU),,male,A
Susan Hohenberger,(Johns Hopkins University),,female,W_NL
Satyanarayana Vusirikala,(University of Texas at Austin),,male,A
Christine Utz,(Ruhr-Universität Bochum),,female,W_NL
Martin Degeling,(Ruhr-Universität Bochum),,male,W_NL
Sascha Fahl,(Ruhr-Universität Bochum),,female,W_NL
Florian Schaub,(University of Michigan),,male,W_NL
Thorsten Holz,(Ruhr-Universität Bochum),,male,W_NL
Atri Bhattacharyya,(EPFL),,male,A
Alexandra Sandulescu,(IBM Zurich),,female,HL
Matthias Neugschwandtner,(IBM Zurich),,male,W_NL
Alessandro Sorniotti,(IBM Zurich),,male,HL
Babak Falsafi,(EPFL),,male,A
Mathias Payer,(EPFL),,male,W_NL
Anil Kurmus,(IBM Zurich),,male,A
Shang Gao,(The Hong Kong Polytechnic University),,male,A
Zecheng Li,(The Hong Kong Polytechnic University),,male,A
Zhe Peng,(The Hong Kong Polytechnic University),,male,A
Bin Xiao,(The Hong Kong Polytechnic University),,male,A
Donghang Lu,(Purdue University),,male,A
Thomas Yurek,(UIUC),,male,W_NL
Samarth Kulshreshtha,(UIUC),,male,A
Rahul Govind,(UIUC),,male,A
Aniket Kate,(Purdue University),,male,A
Andrew Miller,(UIUC),,male,W_NL
Sjouke Mauw,"(SnT/CSC, University of Luxembourg)",,male,A
Zach Smith,"(CSC, University of Luxembourg)",,male,W_NL
Jorge Toro-Pozo,"(CSC, University of Luxembourg)",,male,HL
Rolando Trujillo-Rasua,"(School of Information Technology, Deakin University)",,male,HL
Mainack Mondal,(IIT Kharagpur / University of Chicago),,male,A
Günce Su Yilmaz,(University of Chicago),,female,A
Noah Hirsch,(University of Chicago),,male,W_NL
Mohammad Taha Khan,(University of Illinois at Chicago),,male,A
Michael Tang,(University of Chicago),,male,A
Christopher Tran,(University of Illinois at Chicago),,male,A
Chris Kanich,(University of Illinois at Chicago),,male,W_NL
Blase Ur,(University of Chicago),,male,W_NL
Elena Zheleva,(University of Illinois at Chicago),,female,A
Masoud Ghaffarinia,(University of Texas at Dallas),,male,A
Kevin Hamlen,(University of Texas at Dallas),,male,W_NL
Dahlia Malkhi,(Calibra),,female,A
Kartik Nayak,(VMware Research),,male,A
Ling Ren,(VMware Research),,female,A
Xing Gao,(University of Memphis),,male,A
Zhongshu Gu,(IBM Research),,male,A
Zhengfa Li,(Independent Researcher),,male,A
Hani Jamjoom,(IBM Research),,male,A
Cong Wang,(Old Dominion University),,male,A
Eduard Marin,(University of Birmingham),,male,HL
Nicola Bucciol,(University of Padua),,female,W_NL
Mauro Conti,(University of Padua),,male,HL
Payap Sirinam,(Navaminda Kasatriyadhiraj Royal Air Force Academy),,male,A
Nate Matthews,(Rochester Institute of Technology),,male,B_NL
Mohammad Saidur Rahman,(Rochester Institute of Technology),,male,A
Matthew Wright,(Rochester Institute of Technology),,male,W_NL
Shen Liu,"(The Pennsylvania State University, University Park)",,male,A
Dongrui Zeng,"(The Pennsylvania State University, University Park)",,male,A
Yongzhe Huang,"(The Pennsylvania State University, University Park)",,male,A
Frank Capobianco,"(The Pennsylvania State University, University Park)",,male,W_NL
Stephen McCamant,"(University of Minnesota, Twin Cities)",,male,W_NL
Trent Jaeger,"(The Pennsylvania State University, University Park)",,male,W_NL
Gang Tan,"(The Pennsylvania State University, University Park)",,male,A
Adrià Gascón,(The Alan Turing Institute / University of Warwick),,female,HL
Mariana Raykova,(Google),,female,HL
Leonie Reichert,(Humboldt-Universität zu Berlin),,female,W_NL
Phillipp Schoppmann,(Humboldt-Universität zu Berlin),,male,W_NL
Robert Buhren,(Technische Universität Berlin),,male,W_NL
Christian Werling,"(Hasso Plattner Institute, Potsdam)",,male,W_NL
Jean-Pierre Seifert,(Technische Universität Berlin),,male,W_NL
Christian Skalka,(University of Vermont),,male,W_NL
John Ring,(University of Vermont),,male,W_NL
David Darais,(University of Vermont),,male,W_NL
Minseok Kwon,(Rochester Institute of Technology),,male,A
Sahil Gupta,(Rochester Institute of Technology),,male,A
Kyle Diller,(Rochester Institute of Technology),,male,W_NL
Steffen Smolka,(Cornell University),,male,W_NL
Nate Foster,(Cornell University),,male,B_NL
Yushi Cheng,(Zhejiang University),,male,A
Xiaoyu Ji,(Zhejiang University),,female,A
Juchuan Zhang,(Zhejiang University),,male,A
Wenyuan Xu,(Zhejiang University),,male,A
Yi-Chao Chen,(University of Texas at Austin),,female,A
Nitin Agrawal,(University of Oxford),,male,A
Ali Shahin Shamsabadi,(Queen Mary University London),,male,A
Matthew Kusner,"(University of Oxford, The Alan Turing Institute)",,male,W_NL
Adria Gascon,(The Alan Turing Institute),,female,HL
Alin Tomescu,(MIT),,male,HL
Vivek Bhupatiraju,(Lexington High School),,male,A
Dimitrios Papadopoulos,(Hong Kong University of Science and Technology),,male,W_NL
Charalampos Papamanthou,(University of Maryland),,male,A
Nikos Triandopoulos,(Stevens Institute of Technology),,male,HL
Srinivas Devadas,(MIT),,male,A
Fucheng Liu,"(Institute of Information Engineering, Chinese Academy of Science)",,male,A
Yu Wen,"(Institute of Information Engineering, Chinese Academy of Sciences)",,female,A
Dongxue Zhang,"(Institute of Information Engineering, Chinese Academy of Science)",,female,A
Xihe Jiang,"(Institute of Information Engineering, Chinese Academy of Science)",,female,A
Xinyu Xing,(The Pennsylvania State University),,female,A
Dan Meng,"(Institute of Information Engineering, Chinese Academy of Science)",,male,A
Moni Naor,(Weizmann Institue),,female,A
Benny Pinkas,(Bar Ilan University),,male,W_NL
Eyal Ronen,"(Tel Aviv University, KU Leuven)",,male,W_NL
Simon Eberz,(University of Oxford),,male,A
Giulio Lovisotto,(University of Oxford),,male,HL
Kasper Rasmussen,(University of Oxford),,male,W_NL
Vincent Lenders,(Armasuisse),,male,B_NL
Ivan Martinovic,(University of Oxford),,male,HL
Teodora Baluta,(National University of Singapore),,female,A
Shiqi Shen,(National University of Singapore),,female,A
Shweta Shinde,"(University of California, Berkeley)",,female,A
Kuldeep S. Meel,(National University of Singapore),,male,A
Prateek Saxena,(National University of Singapore),,male,A
David Clayton,(University of Florida),,male,W_NL
Christopher Patton,(University of Florida),,male,W_NL
Thomas Shrimpton,(University of Florida),,male,W_NL
Sadegh M. Milajerdi,(UIC),,male,W_NL
Birhanu Eshete,(University of Michigan-Dearborn),,male,A
Rigel Gjomemo,(UIC),,male,HL
V.N. Venkatakrishnan,(UIC),,male,A
Jingjie Li,(University of Wisconsin-Madison),,female,A
Younghyun Kim,(University of Wisconsin-Madison),,female,A
Kassem Fawaz,(University of Wisconsin-Madison),,male,A
Yingqi Liu,(Purdue University),,female,A
Wen-Chuan Lee,(Purdue University),,male,A
Guanhong Tao,(Purdue University),,male,A
Shiqing Ma,(Purdue University),,female,A
Yousra Aafer,(Purdue University),,female,A
Xiangyu Zhang,(Purdue University),,female,A
Phillipp Schoppmann,(Humboldt-Universität zu Berlin),,male,W_NL
Adrià Gascón,"(The Alan Turing Institute, University of Warwick)",,female,HL
Mariana Raykova,(Google),,female,HL
Benny Pinkas,(Bar Ilan University),,male,W_NL
Zhenyuan LI,(Zhejiang University),,male,A
Qi Alfred Chen,"(University of California, Irvine)",,male,A
Chunlin Xiong,(Zhejiang University),,male,A
Yan Chen,(Northwestern University),,male,A
Tiantian Zhu,(Zhejiang University of Technology),,male,A
Hai Yang,(MagicShield Inc),,male,A
Sven Hammann,(ETH Zurich),,male,W_NL
Sasa Radomirovic,(University of Dundee),,male,W_NL
Ralf Sasse,(ETH Zurich),,male,W_NL
David Basin,(ETH Zurich),,male,W_NL
Chen Yan,(Zhejiang University),,male,A
Yan Long,(Zhejiang University),,male,A
Xiaoyu Ji,(Zhejiang University),,female,A
Wenyuan Xu,(Zhejiang University),,male,A
Min Du,(University of California Berkeley),,male,A
Zhi Chen,(University of California Berkeley),,male,A
Chang Liu,(Citadel Securities),,male,A
Rajvardhan Oak,(University of California Berkeley),,male,A
Dawn Song,(University of California Berkeley),,female,A
Abbas Naderi-Afooshteh,(University of Virginia),,male,A
Yonghwi Kwon,(University of Virginia),,male,A
Jack Davidson,(University of Virginia),,male,W_NL
Anh Nguyen-Tuong,(University of Virginia),,female,A
Ali Razmjoo-Qalaei,(ZDResearch),,male,A
Mohammad-Reza Zamiri-Gourabi,(ZDResearch),,male,A
Dong Yuan,(Tsinghua University),,male,A
Yuanli Miao,(Tsinghua University),,female,A
Neil Zhenqiang Gong,(Duke University),,male,A
Zheng Yang,(Tsinghua University),,male,A
Qi Li,(Tsinghua University),,male,A
Dawn Song,(UC Berkeley),,female,A
Qian Wang,(Wuhan University),,male,A
Xiao Liang,(Tencent),,male,A
Qi Wang,(University of Illinois at Urbana-Champaign),,male,A
Pubali Datta,(University of Illinois at Urbana-Champaign),,male,A
Wei Yang,(The University of Texas at Dallas),,male,A
