Name,Organization,Location,Gender,Race
Saumya Debray,(The University of Arizona),,female,A
Carlos Scheidegger,(The University of Arizona),,male,HL
Amit Vasudevan,(CyLab / CMU),,male,A
Sagar Chaki,(SEI / CMU),,male,A
Amit Vasudevan,"(CyLab, Carnegie Mellon University)",,male,A
Nicolas Papernot,(Penn State),,male,HL
Patrick McDaniel,(Penn State),,male,W_NL
Arunesh Sinha,(University of Michigan),,male,A
Michael P. Wellman,(University of Michigan),,male,W_NL
Benjamin Harsha,(Purdue University),,male,W_NL
Jeremiah Blocki,(Purdue University),,male,W_NL
Erwin Quiring,(TU Braunschweig),,male,A
Daniel Arp,(TU Braunschweig),,male,W_NL
Konrad Rieck,(TU Braunschweig),,male,W_NL
Toby Murray,"(University of Melbourne, Data61)",,male,B_NL
Robert Sison,"(CSE, UNSW, Data61)",,male,A
Kai Engelhardt,"(CSE, UNSW, Data61)",,male,A
Ke Xu,(Singapore Management University),,male,A
Yingjiu Li,(Singapore Management University),,female,A
Robert H. Deng,(Singapore Management University),,male,A
Kai Chen,(Chinese Academy of Sciences),,male,A
Luke Valenta,(University of Pennsylvania),,male,W_NL
Nick Sullivan,(Cloudflare),,male,W_NL
Antonio Sanso,(Adobe),,male,HL
Nadia Heninger,(University of Pennsylvania),,female,W_NL
Carlos Cotrini,(ETH Zürich),,male,HL
Thilo Weghorn,(ETH Zürich),,male,A
David Basin,(ETH Zürich),,male,W_NL
Michael Backes,"(CISPA, Saarland University & MPI-SWS)",Germany,male,W_NL
Gilles Barthe,(IMDEA Software Institute),Spain,male,B_NL
Virgil Gligor,"(Cylab, Carnegie Mellon University)",USA,male,W_NL
Patrick McDaniel,(Pennsylvania State University),USA,male,W_NL
Adrian Perrig,(ETH Zurich),Switzerland,male,HL
Bart Preneel,(KU Leuven),Belgium,male,W_NL
Frank Piessens,(KU Leuven),,male,W_NL
Matthew Smith,(University of Bonn),,male,W_NL
Andrei Sabelfeld,(Chalmers University of Technology),,male,W_NL
Angela Sasse,(University College London),,female,W_NL
Aslan Askarov,(Aarhus University),,male,A
Aylin Caliskan,(Princeton University),,female,A
Ben Livshits,(Imperial College London),,male,W_NL
Blase Ur,(University of Chicago),,male,W_NL
Boris Köpf,(IMDEA Software Institute),,male,W_NL
Cristina Nita-Rotaru,(Northeastern University),,female,A
Deepak Garg,(Max Planck Institute for Software Systems),,male,A
Delphine Reinhardt,(Fraunhofer FKIE),,female,W_NL
Elizabeth Stobert,(ETH),,female,W_NL
Emanuel von Zezschwitz,(University of Bonn),,male,HL
Emiliano De Cristofaro,(University College London),,male,HL
Engin Kirda,(Northeastern University),,male,A
Erik van der Kouwe,(Leiden University),,male,W_NL
Fréderik Vercauteren,(KU Leuven),,male,W_NL
Franzi Roesner,(University of Washington),,female,W_NL
Joseph Bonneau,(Stanford University & EFF),,male,W_NL
Kami Vaniea,(University of Edinburgh),,female,A
Kaveh Razavi,(Vrije Universiteit Amsterdam),,male,A
Leyla Bilge,(Symantec),,female,HL
Limin Jia,(CMU),,male,A
